iter	Passed	Remaining
402	9382	13898
403	9400	13868
404	9417	13836
405	9435	13805
406	9454	13775
407	9474	13747
408	9494	13719
409	9513	13690
410	9532	13660
411	9549	13629
412	9569	13600
413	9589	13573
414	9610	13547
415	9632	13522
416	9653	13496
417	9673	13468
418	9695	13443
419	9716	13417
420	9736	13389
421	9756	13363
422	9776	13335
423	9797	13310
424	9819	13285
425	9841	13259
426	9862	13235
427	9882	13206
428	9903	13181
429	9921	13151
430	9940	13122
431	9958	13094
432	9981	13070
433	10003	13046
434	10023	13019
435	10045	12994
436	10065	12967
437	10084	12939
438	10102	12910
439	10121	12881
440	10144	12858
441	10164	12831
442	10184	12804
443	10202	12776
444	10221	12747
445	10240	12719
446	10259	12691
447	10279	12665
448	10296	12636
449	10315	12608
450	10333	12579
451	10351	12549
452	10369	12521
453	10387	12492
454	10416	12476
455	10439	12454
456	10458	12426
457	10478	12400
458	10500	12375
459	10524	12355
460	10548	12333
461	10569	12307
462	10590	12282
463	10610	12257
464	10631	12231
465	10651	12205
466	10669	12177
467	10688	12150
468	10708	12123
469	10728	12098
470	10747	12070
471	10767	12044
472	10787	12018
473	10806	11992
474	10824	11964
475	10843	11937
476	10866	11913
477	10886	11888
478	10907	11864
479	10928	11838
480	10948	11813
481	10966	11785
482	10986	11759
483	11006	11734
484	11028	11711
485	11052	11689
486	11078	11669
487	11104	11651
488	11136	11637
489	11169	11625
490	11198	11608
491	11226	11591
492	11253	11573
493	11277	11551
494	11307	11536
495	11340	11523
496	11374	11512
497	11397	11489
498	11418	11463
499	11437	11437
500	11460	11414
501	11477	11385
502	11494	11357
503	11513	11330
504	11531	11303
505	11548	11275
506	11570	11250
507	11590	11225
508	11609	11198
509	11627	11171
510	11648	11146
511	11666	11120
512	11686	11093
513	11705	11067
514	11726	11043
515	11744	11016
516	11764	10990
517	11782	10963
518	11800	10936
519	11818	10909
520	11836	10881
521	11855	10855
522	11880	10835
523	11904	10814
524	11924	10789
525	11945	10764
526	11964	10738
527	11984	10712
528	12004	10688
529	12024	10663
530	12043	10637
531	12065	10613
532	12085	10588
533	12103	10562
534	12127	10541
535	12148	10516
536	12168	10491
537	12191	10469
538	12213	10446
539	12236	10423
540	12259	10401
541	12280	10377
542	12303	10354
543	12321	10328
544	12341	10303
545	12363	10279
546	12386	10258
547	12407	10233
548	12428	10209
549	12452	10188
550	12473	10164
551	12495	10141
552	12515	10116
553	12535	10091
554	12557	10068
555	12579	10045
556	12600	10021
557	12621	9997
558	12654	9983
559	12683	9965
560	12706	9942
561	12730	9921
562	12752	9898
563	12774	9874
564	12795	9851
565	12816	9827
566	12836	9802
567	12857	9778
568	12878	9754
569	12898	9730
570	12921	9707
571	12941	9683
572	12963	9660
573	12983	9635
574	13004	9612
575	13025	9588
576	13046	9564
577	13066	9539
578	13088	9516
579	13109	9492
580	13129	9468
581	13151	9445
582	13169	9419
583	13189	9395
584	13209	9370
585	13229	9346
586	13247	9320
587	13267	9296
588	13287	9271
589	13306	9246
590	13326	9222
591	13349	9200
592	13370	9176
593	13392	9153
594	13414	9131
595	13438	9109
596	13471	9093
597	13504	9078
598	13538	9063
599	13585	9057
600	13623	9044
601	13653	9027
602	13680	9006
603	13707	8986
604	13738	8969
605	13772	8954
606	13808	8939
607	13839	8922
608	13860	8898
609	13880	8874
610	13899	8848
611	13920	8825
612	13940	8800
613	13960	8776
614	13980	8752
615	13999	8726
616	14020	8703
617	14040	8679
618	14063	8656
619	14097	8640
620	14128	8622
621	14155	8602
622	14184	8583
623	14216	8566
624	14244	8546
625	14281	8532
626	14312	8514
627	14343	8496
628	14376	8479
629	14415	8466
630	14445	8447
631	14474	8428
632	14507	8411
633	14535	8390
634	14562	8370
635	14593	8352
636	14618	8330
637	14638	8306
638	14658	8281
639	14678	8256
640	14696	8230
641	14714	8205
642	14732	8179
643	14750	8154
644	14769	8129
645	14788	8103
646	14807	8078
647	14826	8053
648	14846	8029
649	14867	8005
650	14885	7979
651	14902	7954
652	14920	7928
653	14940	7904
654	14959	7879
655	14976	7853
656	14994	7828
657	15012	7802
658	15034	7779
659	15059	7757
660	15077	7732
661	15095	7707
662	15114	7682
663	15134	7658
664	15152	7633
665	15170	7607
666	15186	7582
667	15206	7557
668	15225	7533
669	15244	7508
670	15264	7484
671	15283	7459
672	15302	7435
673	15325	7412
674	15357	7394
675	15377	7370
676	15397	7346
677	15417	7322
678	15436	7297
679	15453	7272
680	15473	7248
681	15493	7224
682	15514	7200
683	15536	7177
684	15556	7153
685	15577	7130
686	15597	7106
687	15620	7083
688	15642	7060
689	15663	7037
690	15682	7012
691	15700	6987
692	15718	6963
693	15739	6940
694	15758	6915
695	15776	6890
696	15794	6866
697	15813	6841
698	15832	6817
699	15849	6792
700	15868	6768
701	15894	6747
702	15920	6725
703	15943	6703
704	15969	6682
705	15999	6662
706	16029	6642
707	16057	6622
708	16083	6601
709	16109	6580
710	16138	6559
711	16167	6539
712	16193	6518
713	16217	6495
714	16237	6472
715	16257	6448
716	16278	6425
717	16297	6400
718	16325	6380
719	16356	6360
720	16380	6338
721	16401	6315
722	16424	6292
723	16449	6270
724	16474	6248
725	16495	6225
726	16514	6201
727	16534	6177
728	16555	6154
729	16574	6130
730	16594	6106
731	16614	6082
732	16633	6059
733	16653	6035
734	16675	6012
735	16695	5988
736	16716	5965
737	16736	5941
738	16756	5918
739	16777	5894
740	16798	5871
741	16818	5848
742	16837	5824
743	16857	5800
744	16878	5777
745	16898	5753
746	16929	5733
747	16951	5710
748	16970	5687
749	16988	5662
750	17006	5638
751	17024	5614
752	17041	5589
753	17060	5566
754	17078	5541
755	17099	5518
756	17120	5495
757	17139	5472
758	17157	5447
759	17177	5424
760	17202	5402
761	17225	5380
762	17248	5357
763	17268	5334
764	17290	5311
765	17311	5288
766	17330	5264
767	17349	5241
768	17369	5217
769	17389	5194
770	17409	5170
771	17430	5147
772	17450	5124
773	17471	5101
774	17490	5077
775	17510	5054
776	17530	5031
777	17551	5008
778	17582	4987
779	17603	4965
780	17624	4941
781	17643	4918
782	17663	4895
783	17686	4872
784	17705	4849
785	17725	4825
786	17744	4802
787	17763	4778
788	17783	4755
789	17802	4732
790	17822	4709
791	17842	4686
792	17862	4662
793	17882	4639
794	17902	4616
795	17922	4593
796	17943	4570
797	17965	4547
798	17986	4524
799	18008	4502
800	18028	4478
801	18048	4455
802	18068	4432
803	18088	4409
804	18113	4387
805	18139	4366
806	18159	4342
807	18178	4319
808	18197	4296
809	18217	4273
810	18237	4250
811	18258	4227
812	18278	4204
813	18305	4182
814	18331	4161
815	18360	4140
816	18394	4120
817	18434	4101
818	18460	4079
819	18489	4058
820	18514	4036
821	18542	4015
822	18571	3994
823	18599	3972
824	18620	3949
825	18640	3926
826	18660	3903
827	18682	3880
828	18712	3859
829	18739	3838
830	18759	3815
831	18781	3792
832	18801	3769
833	18823	3746
834	18843	3723
835	18864	3700
836	18887	3678
837	18912	3656
838	18932	3633
839	18953	3610
840	18973	3587
841	18993	3564
842	19013	3540
843	19032	3517
844	19050	3494
845	19071	3471
846	19090	3448
847	19108	3425
848	19130	3402
849	19150	3379
850	19170	3356
851	19189	3333
852	19209	3310
853	19229	3287
854	19251	3264
855	19271	3242
856	19291	3219
857	19314	3196
858	19337	3174
859	19358	3151
860	19378	3128
861	19400	3105
862	19421	3083
863	19442	3060
864	19462	3037
865	19482	3014
866	19502	2991
867	19524	2969
868	19542	2946
869	19563	2923
870	19589	2901
871	19631	2881
872	19663	2860
873	19697	2839
874	19736	2819
875	19765	2797
876	19789	2775
877	19820	2754
878	19849	2732
879	19887	2711
880	19920	2690
881	19959	2670
882	19989	2648
883	20020	2627
884	20055	2606
885	20089	2584
886	20128	2564
887	20167	2543
888	20202	2522
889	20224	2499
890	20248	2477
891	20273	2454
892	20297	2432
893	20316	2408
894	20342	2386
895	20370	2364
896	20390	2341
