iter	Logloss
0	0.6820311102
1	0.6698183863
2	0.65919158
3	0.6491944533
4	0.638066186
5	0.6285374815
6	0.6174308721
7	0.6067592446
8	0.595461919
9	0.5862937393
10	0.5779485513
11	0.568478154
12	0.560272699
13	0.5511689515
14	0.5426433015
15	0.5342621447
16	0.5270996918
17	0.5189223369
18	0.5121940851
19	0.5037048203
20	0.497333574
21	0.4888911712
22	0.4819410476
23	0.4759513916
24	0.4682222479
25	0.4612768688
26	0.4552427633
27	0.4493548335
28	0.4429759734
29	0.4357951928
30	0.4290071077
31	0.4238147154
32	0.4176845641
33	0.4121770425
34	0.4055411266
35	0.3993099973
36	0.3928274111
37	0.3877184977
38	0.3815133517
39	0.3770488505
40	0.3717294051
41	0.3669915206
42	0.3617829948
43	0.3574350842
44	0.3529071849
45	0.3480259799
46	0.343878797
47	0.3393678396
48	0.3359789434
49	0.3311207806
50	0.3270521534
51	0.3227734435
52	0.3189367871
53	0.3150528267
54	0.3107522063
55	0.3071928487
56	0.3035733251
57	0.3001787822
58	0.2966350498
59	0.2930440104
60	0.2885219322
61	0.2851347709
62	0.2813016337
63	0.2775951632
64	0.2740106222
65	0.2711280571
66	0.2679758488
67	0.264831129
68	0.2613231871
69	0.2591390408
70	0.2558532159
71	0.2528613129
72	0.2496127405
73	0.2474968715
74	0.2447746607
75	0.2417486761
76	0.238463571
77	0.2354523075
78	0.232632008
79	0.2306392311
80	0.2275670782
81	0.225121195
82	0.2223891113
83	0.2201726328
84	0.2180880808
85	0.2153372897
86	0.2130712901
87	0.210178096
88	0.2079369828
89	0.2057104124
90	0.2040724401
91	0.2020892075
92	0.2001307784
93	0.1980953161
94	0.1959542683
95	0.1942355295
96	0.1929224458
97	0.1911423351
98	0.1893032474
99	0.1879308484
100	0.1864718885
101	0.184667347
102	0.1835990929
103	0.1820855263
104	0.1805978292
105	0.1791176399
106	0.1772673424
107	0.1759380375
108	0.1745014887
109	0.1726700899
110	0.1708296236
111	0.168938968
112	0.1670704815
113	0.1654718927
114	0.1638061422
115	0.1625337855
116	0.1612844377
117	0.159469483
118	0.1574813755
119	0.1562977782
120	0.1547624128
121	0.1533062866
122	0.1524292302
123	0.1511364918
124	0.1501397893
125	0.148651721
126	0.1473212358
127	0.1461547382
128	0.1449121357
129	0.1436386426
130	0.1426190205
131	0.1414210119
132	0.1403155577
133	0.1390452209
134	0.1380238444
135	0.1371510725
136	0.1359364536
137	0.1347455142
138	0.1339100885
139	0.1326596156
140	0.1314714845
141	0.1302896144
142	0.1292524811
143	0.1283632364
144	0.1275984129
145	0.1264704995
146	0.1252111485
147	0.1243227075
148	0.1233416748
149	0.122769262
150	0.1221073435
151	0.121353811
152	0.1206158587
153	0.1200066933
154	0.119119174
155	0.1183272003
156	0.1174092879
157	0.1165162523
158	0.1159164417
159	0.1152224843
160	0.1144181734
161	0.1135200057
162	0.1130205699
163	0.112294238
164	0.1116273641
165	0.1108780609
166	0.1102168552
167	0.1094063222
168	0.1083889172
169	0.1077257947
170	0.1069206775
171	0.1060145261
172	0.1054184944
173	0.1047511185
174	0.1039099666
175	0.1029874201
176	0.1023572874
177	0.1015946095
178	0.1011221536
179	0.1004840387
180	0.09985565581
181	0.09942547611
182	0.0987283713
